chapter	line	current_expr	aed_name	access	rationale
chapters/age_pyramid.qmd	55	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/age_pyramid.qmd	395	"pop <- rio::import(here::here(""data"", ""standardization"", ""country_demographics.csv""))"	country_demographics	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/age_pyramid.qmd	599	"rio::export(likert_data, here::here(""data"", ""likert_data.csv""))"	likert_data		ILLUSTRATIVE: entire enclosing chunk (line 575) is `eval=F, echo=F` and additionally reads from a private path `P:/Shared/equateur_mve_2020/...` (network drive) before this export -- never executes. NOTE: this corrects the brief's assumption that this site executes; it does not. The real, executing read of data/likert_data.csv happens at line 606 in a separate `echo=F` (no eval=F) chunk that assumes the file is already committed to disk.
chapters/age_pyramid.qmd	606	"likert_data <- rio::import(here::here(""data"", ""likert_data.csv""))"	likert_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/diagrams.qmd	46	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/heatmaps.qmd	65	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/heatmaps.qmd	241	"facility_count_data <- rio::import(here::here(""data"", ""malaria_facility_count_data.rds"")) %>%"	malaria_facility_count_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/pivoting.qmd	58	"count_data <- rio::import(here::here(""data"", ""malaria_facility_count_data.rds"")) %>%"	malaria_facility_count_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/pivoting.qmd	81	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/survey_analysis.qmd	114	"survey_data <- rio::import(here::here(""data"", ""surveys"", ""survey_data.xlsx""))"	survey_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/survey_analysis.qmd	117	"survey_dict <- rio::import(here::here(""data"", ""surveys"", ""survey_dict.xlsx""))"	survey_dict	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/survey_analysis.qmd	120	"population <- rio::import(here::here(""data"", ""surveys"", ""population.xlsx""))"	population	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/cleaning.qmd	125	"linelist_raw <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_raw.xlsx""))"	case_linelists_linelist_raw	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/cleaning.qmd	1070	"cleaning_dict <- rio::import(here(""data"", ""case_linelists"", ""cleaning_dict.csv""))"	case_linelists_cleaning_dict	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/cleaning.qmd	1932	"rio::export(linelist, here::here(""data"", ""case_linelists"", ""linelist_cleaned.xlsx""))"	linelist_cleaned_excel		ILLUSTRATIVE: enclosing chunk (line 1930) is `echo=F, eval=F` -- confirmed inert, never executes, as the brief believed.
chapters/cleaning.qmd	1933	"rio::export(linelist, here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds		ILLUSTRATIVE: enclosing chunk (line 1930) is `echo=F, eval=F` -- confirmed inert, never executes, as the brief believed.
chapters/combination_analysis.qmd	14	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/combination_analysis.qmd	95	"linelist_sym <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/contact_tracing.qmd	77	"cases <- import(here(""data"", ""godata"", ""cases_clean.rds"")) %>%"	cases_clean	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/contact_tracing.qmd	98	"contacts <- import(here(""data"", ""godata"", ""contacts_clean.rds"")) %>%"	contacts_clean	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/contact_tracing.qmd	120	"followups <- rio::import(here::here(""data"", ""godata"", ""followups_clean.rds"")) %>%"	followups_clean	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/contact_tracing.qmd	137	"relationships <- rio::import(here::here(""data"", ""godata"", ""relationships_clean.rds"")) %>%"	relationships_clean	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/data_table.qmd	53	"linelist <- rio::import(here(""data"", ""linelist_cleaned.xlsx"")) %>% data.table()"		save_data	GENUINE GAP per data-map.tsv: no aed package equivalent exists for this file (see data-map.tsv notes); must remain a file-based read.
chapters/epicurves.qmd	66	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/epicurves.qmd	152	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/epidemic_models.qmd	34	"linelist <- import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/epidemic_models.qmd	148	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/factors.qmd	49	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/flexdashboard.qmd	51	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/ggplot_basics.qmd	46	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/ggplot_basics.qmd	413	"malaria_data <- import(here(""data"", ""malaria_facility_count_data.rds"")) %>%  # import"	malaria_facility_count_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/basics.qmd	22	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/importing.qmd	261	"linelist_2headers <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds"")) %>%"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/interactive_plots.qmd	16	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/interactive_plots.qmd	70	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/interactive_plots.qmd	201	"facility_count_data <- rio::import(here::here(""data"", ""malaria_facility_count_data.rds""))"	malaria_facility_count_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/interactive_plots.qmd	286	"<!-- df <- rio::import(here::here(""data"", ""gis"", ""covid_incidence.csv"")) -->"	gis_covid_incidence	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/interactive_plots.qmd	289	"<!-- geoJSON <- rjson::fromJSON(file=here::here(""data"", ""gis"", ""africa_countries.geo.json"")) -->"	gis_africa_countries	get_data	returns a parsed R object; get_data() returns the equivalent object directly.
chapters/r_projects.qmd	92	"linelist <- import(here(""data"", ""linelist_raw.xlsx""))"		save_data	GENUINE GAP per data-map.tsv: no aed package equivalent exists for this file (see data-map.tsv notes); must remain a file-based read.
chapters/tables_presentation.qmd	11	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/tables_presentation.qmd	138	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/plot_continuous.qmd	8	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds"")) %>% #Load the data"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/plot_continuous.qmd	92	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/joining_matching.qmd	51	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/missing_data.qmd	46	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/moving_average.qmd	44	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/ggplot_tips.qmd	39	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/ggplot_tips.qmd	304	"case_source_relationships <- rio::import(here::here(""data"", ""godata"", ""relationships_clean.rds"")) %>%"	relationships_clean	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/ggplot_tips.qmd	751	"malaria_data <- rio::import(here::here(""data"", ""malaria_facility_count_data.rds""))"	malaria_facility_count_data	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/gis.qmd	158	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/gis.qmd	207	"sle_adm3_raw <- sf::read_sf(here(""data"", ""gis"", ""shp"", ""sle_adm3.shp""))"	sle_adm3	get_data	sf::read_sf() returns an 'sf' object; get_data() returns the same sf object directly (via sf::st_as_sf()) per package docs.
chapters/gis.qmd	237	"sle_adm3_pop <- import(here(""data"", ""gis"", ""population"", ""sle_admpop_adm3_2020.csv"")) %>%"	gis_population_sle_admpop_adm3_2020	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/gis.qmd	260	"sle_hf <- sf::read_sf(here(""data"", ""gis"", ""shp"", ""sle_hf.shp"")) %>%"	sle_adm3	get_data	sf::read_sf() returns an 'sf' object; get_data() returns the same sf object directly (via sf::st_as_sf()) per package docs.
chapters/grouping.qmd	58	"linelist <- rio::import(here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/plot_discrete.qmd	13	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/plot_discrete.qmd	64	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/regression.qmd	54	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/relational_databases.qmd	27	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/descriptive_statistics.qmd	34	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/characters_strings.qmd	57	"linelist <- rio::import(here::here(""data"", ""case_linelists"", ""linelist_cleaned.rds""))"	linelist_cleaned_rds	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/phylogenetic_trees.qmd	24	"tree <- ape::read.tree(here::here(""data"", ""phylo"", ""Shigella_tree.txt""))"	Shigella_tree	get_data	ape::read.tree() returns a 'phylo' object; get_data() returns the same phylo object directly per package docs.
chapters/phylogenetic_trees.qmd	26	"sample_data <- read.csv(here::here(""data"",""phylo"", ""sample_data_Shigella_tree.csv""),sep="","", na.strings=c(""NA""), head = TRUE, stringsAsFactors=F)"	sample_data_Shigella_tree	get_data	read.csv() returns a data frame; get_data() returns the same parsed data frame directly.
chapters/phylogenetic_trees.qmd	78	"tree <- ape::read.tree(here::here(""data"", ""phylo"", ""Shigella_tree.txt""))"	Shigella_tree	get_data	ape::read.tree() returns a 'phylo' object; get_data() returns the same phylo object directly per package docs.
chapters/phylogenetic_trees.qmd	95	"sample_data <- import(here(""data"", ""phylo"", ""sample_data_Shigella_tree.csv""))"	sample_data_Shigella_tree	get_data	rio::import() returns a data frame; get_data() returns the same parsed data frame directly.
